Drug,Gene1,Phenotype1,Gene2,Phenotype2,Recommendation
doxepin,CYP2C19,Rapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
doxepin,CYP2C19,Rapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
doxepin,CYP2C19,Normal Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid doxepin use; If doxepin is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment."
doxepin,CYP2C19,Normal Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
doxepin,CYP2C19,Normal Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.
doxepin,CYP2C19,Normal Metabolizer,CYP2D6,Poor Metabolizer,"Avoid doxepin use. If a doxepin is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
doxepin,CYP2C19,Normal Metabolizer,CYP2D6,Indeterminate,None
doxepin,CYP2C19,Normal Metabolizer,CYP2D6,None,None
doxepin,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
doxepin,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
doxepin,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
doxepin,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid doxepin use. If a doxepin is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
doxepin,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Indeterminate,None
doxepin,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
doxepin,CYP2C19,Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
doxepin,CYP2C19,Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
doxepin,CYP2C19,Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
doxepin,CYP2C19,Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid doxepin use. If a doxepin is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
doxepin,CYP2C19,Intermediate Metabolizer,CYP2D6,Indeterminate,None
doxepin,CYP2C19,Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
doxepin,CYP2C19,Likely Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
doxepin,CYP2C19,Likely Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid doxepin use. If doxepin is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
doxepin,CYP2C19,Likely Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
doxepin,CYP2C19,Likely Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
doxepin,CYP2C19,Likely Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
doxepin,CYP2C19,Likely Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
doxepin,CYP2C19,Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
doxepin,CYP2C19,Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid doxepin use. If doxepin is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
doxepin,CYP2C19,Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
doxepin,CYP2C19,Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid doxepin use; If doxepin is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
doxepin,CYP2C19,Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
doxepin,CYP2C19,Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
doxepin,CYP2C19,Indeterminate,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
doxepin,CYP2C19,Indeterminate,CYP2D6,Normal Metabolizer,None
doxepin,CYP2C19,Indeterminate,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
doxepin,CYP2C19,Indeterminate,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
doxepin,CYP2C19,Indeterminate,CYP2D6,Indeterminate,None
doxepin,CYP2C19,Indeterminate,CYP2D6,None,None
doxepin,CYP2C19,None,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
doxepin,CYP2C19,None,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
doxepin,CYP2C19,None,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
doxepin,CYP2C19,None,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
doxepin,CYP2C19,None,CYP2D6,Indeterminate,None
doxepin,CYP2C19,None,CYP2D6,None,None
imipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Normal Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
imipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Intermediate Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
imipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
imipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Normal Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
imipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Intermediate Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
imipramine,CYP2C19,Rapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
imipramine,CYP2C19,Normal Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment."
imipramine,CYP2C19,Normal Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
imipramine,CYP2C19,Normal Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.
imipramine,CYP2C19,Normal Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use. If a imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
imipramine,CYP2C19,Normal Metabolizer,CYP2D6,Indeterminate,None
imipramine,CYP2C19,Normal Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
imipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
imipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
imipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use. If a imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Indeterminate,None
imipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
imipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
imipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
imipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use. If a imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Indeterminate,None
imipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
imipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid imipramine use. If imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
imipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
imipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
imipramine,CYP2C19,Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid imipramine use. If imipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
imipramine,CYP2C19,Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Poor Metabolizer,CYP2D6,Poor Metabolizer,"Avoid imipramine use; If imipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
imipramine,CYP2C19,Poor Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
imipramine,CYP2C19,Poor Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. For tertiary amines, consider a 50% reduction of the recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
imipramine,CYP2C19,Indeterminate,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
imipramine,CYP2C19,Indeterminate,CYP2D6,Normal Metabolizer,None
imipramine,CYP2C19,Indeterminate,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
imipramine,CYP2C19,Indeterminate,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
imipramine,CYP2C19,Indeterminate,CYP2D6,Indeterminate,None
imipramine,CYP2C19,Indeterminate,CYP2D6,None,None
imipramine,CYP2C19,None,CYP2D6,Ultrarapid Metabolizer,"Avoid tricyclic use due to potential lack of efficacy. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
imipramine,CYP2C19,None,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
imipramine,CYP2C19,None,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects.
imipramine,CYP2C19,None,CYP2D6,Poor Metabolizer,"Avoid tricyclic use due to potential for side effects. Consider alternative drug not metabolized by CYP2D6. If a TCA is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments. Titrate dose to observed clinical response with symptom improvement and minimal (if any) side effects."
imipramine,CYP2C19,None,CYP2D6,Indeterminate,None
imipramine,CYP2C19,None,CYP2D6,None,None
trimipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Normal Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
trimipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Intermediate Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
trimipramine,CYP2C19,Ultrarapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
trimipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Normal Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment."
trimipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Intermediate Metabolizer,"Consider alternative drug not metabolized by CYP2C19; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Rapid Metabolizer,CYP2D6,Indeterminate,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
trimipramine,CYP2C19,Rapid Metabolizer,CYP2D6,None,"Avoid tertiary amine use due to potential for sub-optimal response. Consider alternative drug not metabolized by CYP2C19. TCAs without major CYP2C19 metabolism include the secondary amines nortriptyline and desipramine. If a tertiary amine is warranted, utilize therapeutic drug monitoring to guide dose adjustments."
trimipramine,CYP2C19,Normal Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, consider titrating to a higher target dose (compared to normal metabolizers). Utilize therapeutic drug monitoring to guide dose adjustment."
trimipramine,CYP2C19,Normal Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
trimipramine,CYP2C19,Normal Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments.
trimipramine,CYP2C19,Normal Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use. If a trimipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
trimipramine,CYP2C19,Normal Metabolizer,CYP2D6,Indeterminate,None
trimipramine,CYP2C19,Normal Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
trimipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
trimipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
trimipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use. If a trimipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,Indeterminate,None
trimipramine,CYP2C19,Likely Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
trimipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Normal Metabolizer,Initiate therapy with recommended starting dose.
trimipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Intermediate Metabolizer,Consider a 25% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended.
trimipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Poor Metabolizer,"Avoid trimipramine use. If a trimipramine is warranted, consider a 50% reduction of recommended starting dose. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,Indeterminate,None
trimipramine,CYP2C19,Intermediate Metabolizer,CYP2D6,None,Initiate therapy with recommended starting dose.
trimipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Ultrarapid Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
trimipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Normal Metabolizer,"Avoid trimipramine use. If trimipramine is warranted, consider a 50% reduction of recommended starting dose. Utilize therapeutic drug monitoring to guide dose adjustments."
trimipramine,CYP2C19,Likely Poor Metabolizer,CYP2D6,Intermediate Metabolizer,"Avoid trimipramine use; If trimipramine is warranted, utilize therapeutic drug monitoring to guide dose adjustment. Utilizing therapeutic drug monitoring to guide dose adjustments is strongly recommended."
